lottie-android,3,42,42,204
feign,51,256,256,935
eureka,8,36,36,369
Activiti,143,34778,34778,945
hbase,10,68,68,6659
generator,1,2,2,1690
Small,1,1,1,15
keycloak,22,278,278,5279
sqlbrite,1,6,6,104
vespa,406,2087,2087,12479
keywhiz,1,2,2,791
AmazeFileManager,74,693,693,380
incubator-pulsar,461,1058,1058,6360
rest-assured,9,21,21,1651
VasSonic,2,12,12,7
MinecraftForge,12,38,38,17
gocd,218,2454,2454,12182
requery,3,7,7,193
Smack,1,6,6,717
btrace,3,8,8,171
dropwizard,125,806,806,1826
zipkin,44,295,295,1270
