repo_name,has_issue_commit,related_lb,related_ub,curr_total
GestureViews,5,0,0,0
Side-Menu.Android,0,0,0,0
BottomNavigation,3,1,1,1
flow,12,0,0,53
XhsEmoticonsKeyboard,1,0,0,2
spring-boot-starter,15,0,0,137
hbase,181,118,118,6659
Fragmentation,70,0,0,1
generator,80,172,172,1690
objectbox-java,24,5,5,407
Talon-for-Twitter,2,0,0,0
Small,104,1,1,15
keycloak,658,476,482,5279
AndroidWiFiADB,0,0,0,27
Notes,0,0,0,0
CoordinatorTabLayout,4,0,0,4
libsvm,1,0,0,0
paper-onboarding-android,1,0,0,3
NumberProgressBar,3,0,0,0
socket.io-client-java,11,1,1,96
NavigationTabBar,0,0,0,0
sqlbrite,1,0,0,104
xabber-android,84,0,0,21
ViewPagerIndicator,0,0,0,1
android-parallax-recyclerview,5,0,0,0
VirtualAPK,0,0,0,2
cassandra,303,4531,4674,6716
Android-PickerView,2,0,0,1
InfiniteCycleViewPager,0,0,0,0
EventBus,11,0,0,98
BlurKit-Android,0,0,0,8
materialish-progress,0,0,0,0
packr,16,0,0,10
vespa,55,143,143,12475
hover,2,0,0,4
android-advancedrecyclerview,43,0,0,44
MaterialDesignLibrary,0,0,0,0
keywhiz,6,0,0,791
hibernate-orm,9,2,2,11956
heron,47,31,31,909
interview,0,0,0,28
BGABanner-Android,32,0,0,0
chuck,4,0,0,0
Android-ZBLibrary,0,0,0,1
AmazeFileManager,240,279,279,380
incubator-pulsar,1392,882,882,6360
android-material-design-icon-generator-plugin,1,0,0,1
xUtils3,0,0,0,0
LikeAnimation,0,0,0,0
NoHttp,1,0,0,0
FloatingActionButton,19,0,0,0
rest-assured,50,23,26,1651
VasSonic,3,0,0,7
understand-plugin-framework,0,0,0,0
ActionBarSherlock,241,4,4,1
MinecraftForge,991,147,147,17
react-native-video,48,0,0,0
awesome-android-complete-reference,0,0,0,0
banner,3,0,0,2
requery,305,72,74,193
MaterialIntroView,1,0,0,2
RippleEffect,3,0,0,0
Smack,4,6,6,717
btrace,207,102,102,171
dropwizard,487,597,597,1826
AndroidTreeView,5,0,0,0
RoundedImageView,24,0,0,0
zipkin,226,649,649,1270
MSEC,0,0,0,1
