,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
7499,1,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.7692307692307692,12600.0,"[4.8,100][3.0,300][0.7692307692307692,1400]",0.3,0.2,3
7500,5,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,300.0,"[3.0,100][0.0,300]",0.3,0.2,3
7501,1,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,12900.0,"[4.5,100][0.7857142857142857,200]",0.3,0.2,3
7502,1,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,0.84,12000.0,"[4.5,100][4.2,300][3.0,3100][0.8571428571428571,4000][0.84,9300]",0.3,0.2,3
7503,1,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,16200.0,"[3.0,100][0.781021897810219,1700]",0.3,0.2,3
7504,1,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,0.84,13300.0,"[3.0,100][0.8800000000000001,600][0.84,2400]",0.3,0.2,3
7505,2,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7506,2,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7507,2,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7508,6,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,300.0,"[3.0,100][0.0,300]",0.3,0.2,3
7509,5,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,0.0,2800.0,"[3.0,100][0.6,300][0.5862068965517241,600][0.42857142857142855,1100][0.0,2800]",0.3,0.2,3
7510,2,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,12200.0,"[4.5,100][0.75,200]",0.3,0.2,3
7511,2,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.7692307692307692,19400.0,"[4.8,100][4.5,300][3.0,600][0.7692307692307692,1100]",0.3,0.2,3
7512,2,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,,,,0.3,0.2,3
7513,2,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,,,,0.3,0.2,3
7514,2,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,24200.0,"[3.0,100][0.8695652173913043,1000][0.8651685393258427,2800][0.781021897810219,3900]",0.3,0.2,3
7515,2,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,,,,0.3,0.2,3
7516,3,math,MATH-32b,32b,java.lang.ClassCastException,2,62328,,,,0.3,0.2,3
7517,3,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7518,7,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,200.0,"[3.0,100][0.0,200]",0.3,0.2,3
7519,3,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7520,3,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,17800.0,"[5.869565217391305,100][4.8,200][0.7857142857142858,300][0.75,1600]",0.3,0.2,3
7521,3,math,MATH-32b,32b,java.lang.ClassCastException,6,62328,0.7692307692307692,17100.0,"[4.5,100][0.7692307692307692,400]",0.3,0.2,3
7522,3,math,MATH-32b,32b,java.lang.ClassCastException,7,62328,0.7857142857142857,13500.0,"[4.5,100][3.0,300][0.7857142857142857,700]",0.3,0.2,3
7523,3,math,MATH-32b,32b,java.lang.ClassCastException,8,62328,3.0,8800.0,"[4.5,100][4.2,400][3.0,3000]",0.3,0.2,3
7524,3,math,MATH-32b,32b,java.lang.ClassCastException,9,62328,0.781021897810219,21500.0,"[3.0,100][0.8695652173913043,2500][0.8651685393258427,3100][0.781021897810219,4100]",0.3,0.2,3
7525,3,math,MATH-32b,32b,java.lang.ClassCastException,10,62328,0.8461538461538461,21200.0,"[0.8800000000000001,100][0.8461538461538461,400]",0.3,0.2,3
7526,4,math,MATH-32b,32b,java.lang.ClassCastException,3,62328,,,,0.3,0.2,3
7527,8,math,MATH-32b,32b,java.lang.ClassCastException,1,62328,0.0,200.0,"[3.0,100][0.0,200]",0.3,0.2,3
7528,4,math,MATH-32b,32b,java.lang.ClassCastException,4,62328,,,,0.3,0.2,3
7529,4,math,MATH-32b,32b,java.lang.ClassCastException,5,62328,0.75,12300.0,"[4.5,100][3.0,200][0.75,800]",0.3,0.2,3
