,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
50,1,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2200.0,"[4.5,100]",0.3,1.0,3
51,1,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,4000.0,"[3.0,100]",0.3,1.0,3
52,2,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,5500.0,"[3.0,100]",0.3,1.0,3
53,3,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2600.0,"[4.5,100]",0.3,1.0,3
54,3,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,11300.0,"[3.0,100]",0.3,1.0,3
55,4,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2000.0,"[4.5,100]",0.3,1.0,3
56,4,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,1600.0,"[3.0,100]",0.3,1.0,3
57,5,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2800.0,"[4.5,100]",0.3,1.0,3
58,5,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,3100.0,"[3.0,100]",0.3,1.0,3
59,6,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2600.0,"[4.5,100]",0.3,1.0,3
60,6,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,3600.0,"[3.0,100]",0.3,1.0,3
61,7,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2300.0,"[4.5,100]",0.3,1.0,3
62,1,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
63,7,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,4200.0,"[3.0,100]",0.3,1.0,3
64,2,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
65,4,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
66,8,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2300.0,"[4.5,100]",0.3,1.0,3
67,3,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
68,8,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,0.7894736842105263,5100.0,"[3.0,100][0.7894736842105263,3700]",0.3,1.0,3
69,5,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
70,2,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,400.0,"[4.5,100]",0.3,1.0,3
71,9,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2400.0,"[4.5,100]",0.3,1.0,3
72,6,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
73,7,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
74,8,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
75,9,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,0.7894736842105263,11100.0,"[3.0,100][0.7894736842105263,2200]",0.3,1.0,3
76,9,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
77,10,lang,LANG-16b,16b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
78,10,lang,LANG-13b,13b,java.lang.ClassNotFoundException,4,62328,4.5,2200.0,"[4.5,100]",0.3,1.0,3
79,10,lang,LANG-13b,13b,java.lang.ClassNotFoundException,5,62328,3.0,4700.0,"[3.0,100]",0.3,1.0,3
80,2,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
81,1,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
82,1,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
83,2,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
84,3,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
85,3,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
86,4,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
87,5,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
88,5,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
89,4,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,200.0,"[5.142857142857142,100][0.0,200]",0.3,1.0,3
90,6,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
91,6,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
92,7,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
93,7,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
94,8,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
95,8,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
96,9,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
97,10,lang,LANG-1b,1b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
98,9,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
99,10,lang,LANG-1b,1b,java.lang.NumberFormatException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
100,6,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,7900.0,"[5.245161290322581,100][5.142857142857142,200][4.4859813084112155,600][4.285714285714286,800][4.2,4900][4.0,5500][0.0,7900]",0.3,1.0,3
101,1,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,16900.0,"[5.245161290322581,100][5.142857142857142,200][4.488549618320611,300][4.47887323943662,500][4.2,600][4.0,1400][0.0,16900]",0.3,1.0,3
102,7,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,19200.0,"[5.245161290322581,100][5.222222222222222,200][5.142857142857142,500][4.8,700][4.285714285714286,1100][4.2,1500][4.0,12400][3.0,18100][0.32558139534883723,18700][0.0,19200]",0.3,1.0,3
103,1,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17100.0,"[0.5521235521235521,100]",0.3,1.0,3
104,1,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,14700.0,"[0.6647398843930636,100]",0.3,1.0,3
105,2,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,3.0,20400.0,"[5.245161290322581,100][5.181818181818182,200][5.142857142857142,500][4.48695652173913,600][4.461538461538462,1100][4.285714285714286,1700][4.2,8900][3.0,9600]",0.3,1.0,3
106,2,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17300.0,"[0.5521235521235521,100]",0.3,1.0,3
107,2,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,17200.0,"[0.6647398843930636,100]",0.3,1.0,3
108,3,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,4.285714285714286,17700.0,"[5.245161290322581,100][4.8,200][4.47887323943662,900][4.285714285714286,4100]",0.3,1.0,3
109,3,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17300.0,"[0.6,100][0.5521235521235521,200]",0.3,1.0,3
110,3,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.3225806451612903,17300.0,"[0.6647398843930636,100][0.3225806451612903,12200]",0.3,1.0,3
111,4,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,4.285714285714286,18100.0,"[5.245161290322581,100][5.2105263157894735,200][5.199999999999999,600][5.142857142857142,700][4.47887323943662,800][4.444444444444445,2900][4.285714285714286,3500]",0.3,1.0,3
112,4,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17800.0,"[0.5521235521235521,100]",0.3,1.0,3
113,4,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,16700.0,"[0.6647398843930636,100]",0.3,1.0,3
114,5,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,3.0,21100.0,"[5.245161290322581,100][5.222222222222222,200][5.142857142857142,300][4.486725663716815,1400][4.444444444444445,1700][4.285714285714286,2100][3.0,15300]",0.3,1.0,3
115,5,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,13600.0,"[3.0,100][0.6,300][0.5521235521235521,700]",0.3,1.0,3
116,5,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,28700.0,"[0.6647398843930636,100]",0.3,1.0,3
117,6,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17200.0,"[0.5521235521235521,100]",0.3,1.0,3
118,6,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,17700.0,"[0.6647398843930636,100]",0.3,1.0,3
119,7,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,16200.0,"[0.6,100][0.5521235521235521,300]",0.3,1.0,3
120,7,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,18400.0,"[0.6647398843930636,100]",0.3,1.0,3
121,8,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,4.0,21400.0,"[5.245161290322581,100][5.232558139534884,200][5.142857142857142,300][4.4897959183673475,400][4.0,1300]",0.3,1.0,3
122,8,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,17000.0,"[3.0,100][0.6,200][0.5521235521235521,300]",0.3,1.0,3
123,8,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,16500.0,"[0.6647398843930636,100]",0.3,1.0,3
124,9,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,4.0,19600.0,"[5.245161290322581,100][5.23404255319149,200][5.232558139534884,300][5.199999999999999,400][5.142857142857142,800][4.333333333333334,1000][4.285714285714286,1700][4.0,4900]",0.3,1.0,3
125,9,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,18500.0,"[0.5521235521235521,100]",0.3,1.0,3
126,9,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,16600.0,"[0.6647398843930636,100]",0.3,1.0,3
127,10,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,1,62328,3.0,22300.0,"[5.245161290322581,100][5.230769230769231,200][5.2105263157894735,300][5.142857142857142,500][4.47887323943662,2200][4.421052631578947,2500][4.285714285714286,3100][4.2,3700][4.0,3800][3.0,6500]",0.3,1.0,3
128,10,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,2,62328,0.5521235521235521,15500.0,"[0.5521235521235521,100]",0.3,1.0,3
129,10,lang,LANG-19b,19b,java.lang.StringIndexOutOfBoundsException,3,62328,0.6647398843930636,17100.0,"[0.6647398843930636,100]",0.3,1.0,3
130,3,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,1500.0,"[3.0,100][0.0,1500]",0.3,1.0,3
131,2,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,1300.0,"[3.0,100][0.0,1300]",0.3,1.0,3
132,1,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,2200.0,"[3.0,100][0.0,2200]",0.3,1.0,3
133,1,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,8200.0,"[5.892857142857142,100][3.0,200][0.4,600]",0.3,1.0,3
134,1,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,8500.0,"[5.625,100][3.0,200][0.5714285714285715,300]",0.3,1.0,3
135,1,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,6700.0,"[4.5,100][3.0,200][0.6666666666666666,1200]",0.3,1.0,3
136,2,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,7100.0,"[5.892857142857142,100][3.0,200][0.42857142857142855,600][0.4,800]",0.3,1.0,3
137,2,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,4900.0,"[3.0,100][0.6,200][0.5714285714285715,600]",0.3,1.0,3
138,4,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,1500.0,"[3.0,100][0.0,1500]",0.3,1.0,3
139,7,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,600.0,"[3.0,100][0.0,600]",0.3,1.0,3
140,8,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,1800.0,"[3.0,100][0.0,1800]",0.3,1.0,3
141,6,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,5500.0,"[3.0,100][0.0,5500]",0.3,1.0,3
142,2,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,6800.0,"[4.5,100][3.0,200][0.6666666666666666,400]",0.3,1.0,3
143,5,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,8800.0,"[3.0,100][0.0,8800]",0.3,1.0,3
144,10,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,400.0,"[3.0,100][0.0,400]",0.3,1.0,3
145,9,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,7600.0,"[3.0,100][0.0,7600]",0.3,1.0,3
148,3,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,5800.0,"[5.892857142857142,100][3.0,200][0.4,1000]",0.3,1.0,3
152,3,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,8000.0,"[5.625,100][3.0,200][0.5714285714285715,600]",0.3,1.0,3
158,1,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
159,2,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
160,1,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
161,3,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,7100.0,"[4.5,100][3.0,200][0.6923076923076923,700][0.6666666666666666,3000]",0.3,1.0,3
162,4,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,7200.0,"[3.0,100][0.4,400]",0.3,1.0,3
163,4,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,6700.0,"[5.625,100][3.0,200][0.5714285714285715,300]",0.3,1.0,3
164,4,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,5500.0,"[4.5,100][3.0,200][0.6923076923076923,800][0.6666666666666666,900]",0.3,1.0,3
165,5,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,3300.0,"[5.892857142857142,100][3.0,200][0.42857142857142855,400][0.4,1100]",0.3,1.0,3
166,5,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,4000.0,"[5.625,100][3.0,200][0.5714285714285715,600]",0.3,1.0,3
167,5,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,8600.0,"[4.5,100][3.0,200][0.6923076923076923,600][0.6666666666666666,800]",0.3,1.0,3
168,6,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,6600.0,"[5.892857142857142,100][3.0,200][0.42857142857142855,700][0.4,1400]",0.3,1.0,3
169,6,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,8500.0,"[5.666666666666666,100][3.0,200][0.5714285714285715,500]",0.3,1.0,3
170,6,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,6600.0,"[4.5,100][3.0,200][0.6923076923076923,700][0.6666666666666666,1700]",0.3,1.0,3
171,7,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,7500.0,"[5.892857142857142,100][3.0,200][0.4,500]",0.3,1.0,3
172,7,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,7100.0,"[5.625,100][3.0,200][0.5714285714285715,500]",0.3,1.0,3
173,7,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,9600.0,"[4.5,100][3.0,200][0.6923076923076923,500][0.6666666666666666,1600]",0.3,1.0,3
174,8,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,6900.0,"[5.892857142857142,100][3.0,200][0.4,800]",0.3,1.0,3
175,8,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,4400.0,"[5.625,100][0.6,200][0.5714285714285715,1100]",0.3,1.0,3
176,8,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,5000.0,"[5.857142857142857,100][3.0,200][0.6923076923076923,500][0.6666666666666666,900]",0.3,1.0,3
177,2,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
178,9,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,7400.0,"[5.892857142857142,100][3.0,200][0.42857142857142855,300][0.4,2100]",0.3,1.0,3
179,9,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,9600.0,"[5.625,100][3.0,200][0.5714285714285715,500]",0.3,1.0,3
180,9,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,7800.0,"[4.5,100][3.0,200][0.6666666666666666,700]",0.3,1.0,3
181,10,lang,LANG-20b,20b,java.lang.NullPointerException,1,62328,0.4,7400.0,"[3.0,100][0.42857142857142855,300][0.4,1800]",0.3,1.0,3
182,10,lang,LANG-20b,20b,java.lang.NullPointerException,2,62328,0.5714285714285715,8200.0,"[5.625,100][0.6,200][0.5714285714285715,1300]",0.3,1.0,3
183,10,lang,LANG-20b,20b,java.lang.NullPointerException,3,62328,0.6666666666666666,6700.0,"[4.5,100][3.0,200][0.6923076923076923,700][0.6666666666666666,1900]",0.3,1.0,3
184,3,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
185,3,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
186,1,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,24200.0,"[3.0,100]",0.3,1.0,3
187,4,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
188,2,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,25000.0,"[3.0,100]",0.3,1.0,3
189,5,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
190,5,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
191,6,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
192,6,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
193,7,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
194,7,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
195,2,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
196,8,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
197,9,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
198,1,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
199,3,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
200,8,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
201,9,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
202,4,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
203,10,lang,LANG-35b,35b,java.text.ParseException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
204,5,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
205,7,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
206,6,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
207,9,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
208,10,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
209,8,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
210,10,lang,LANG-36b,36b,java.lang.NumberFormatException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
211,4,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
212,1,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
213,2,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
214,6,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
215,3,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
216,5,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
217,10,lang,LANG-37b,37b,java.lang.ArrayStoreException,1,62328,0.0,400.0,"[5.727272727272727,100][3.0,200][0.0,400]",0.3,1.0,3
218,7,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
219,8,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
220,9,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
221,10,lang,LANG-45b,45b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
222,3,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,24100.0,"[3.0,100]",0.3,1.0,3
223,4,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,32000.0,"[3.0,100]",0.3,1.0,3
224,5,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,23200.0,"[3.0,100]",0.3,1.0,3
225,6,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,21900.0,"[3.0,100]",0.3,1.0,3
226,4,lang,LANG-37b,37b,java.lang.ArrayStoreException,1,62328,0.0,1500.0,"[5.727272727272727,100][3.0,300][0.0,1500]",0.3,1.0,3
227,7,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,28500.0,"[3.0,100]",0.3,1.0,3
228,4,lang,LANG-35b,35b,java.text.ParseException,2,62328,0.0,3600.0,"[3.0,100][0.0,3600]",0.3,1.0,3
229,9,lang,LANG-37b,37b,java.lang.ArrayStoreException,1,62328,0.0,3000.0,"[5.727272727272727,100][3.0,200][0.4,2000][0.0,3000]",0.3,1.0,3
230,1,lang,LANG-37b,37b,java.lang.ArrayStoreException,1,62328,0.0,3000.0,"[5.727272727272727,100][3.0,200][0.0,3000]",0.3,1.0,3
231,8,lang,LANG-27b,27b,java.lang.StringIndexOutOfBoundsException,2,62328,3.0,25400.0,"[3.0,100]",0.3,1.0,3
232,2,lang,LANG-37b,37b,java.lang.ArrayStoreException,1,62328,0.0,3300.0,"[5.727272727272727,100][3.0,300][0.4,3200][0.0,3300]",0.3,1.0,3
233,4,lang,LANG-54b,54b,java.lang.IllegalArgumentException,1,62328,0.0,300.0,"[4.992700729927007,100][4.875,200][0.0,300]",0.3,1.0,3
234,8,lang,LANG-54b,54b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
235,5,lang,LANG-54b,54b,java.lang.IllegalArgumentException,1,62328,0.0,800.0,"[4.985915492957746,100][4.928571428571429,700][0.0,800]",0.3,1.0,3
236,7,lang,LANG-54b,54b,java.lang.IllegalArgumentException,1,62328,0.0,400.0,"[4.991596638655462,100][0.0,400]",0.3,1.0,3
237,3,lang,LANG-54b,54b,java.lang.IllegalArgumentException,1,62328,0.0,2400.0,"[4.983050847457626,100][4.9787234042553195,300][4.96875,500][4.9411764705882355,1000][4.909090909090909,1600][0.0,2400]",0.3,1.0,3
238,1,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
239,2,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
240,2,lang,LANG-51b,51b,java.lang.StringIndexOutOfBoundsException,1,62328,0.0,6500.0,"[4.363636363636363,100][4.0,1800][3.0,5100][0.0,6500]",0.3,1.0,3
241,3,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
242,4,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
243,5,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
244,6,lang,LANG-5b,5b,java.lang.IllegalArgumentException,1,62328,0.0,100.0,"[0.0,100]",0.3,1.0,3
