,application,case,version,execution_idx,exception_name,exception_kind,frame_level,all_frames_count,project_frames_count,test_case_path,log_path,err_path,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,line_fitness_value,line_fitness_time_msec,line_fitness_number_of_eval,exception_fitness_value,exception_fitness_time_msec,exception_fitness_number_of_eval,stacktrace_similarity_value,stacktrace_similarity_fitness_msec,stacktrace_similarity_number_of_eval,fitness_function_value,fitness_function_time_msec,fitness_function_number_of_tries,execution_time,total_number_of_eval,fitness_function_evolution
10,math,MATH-89b,89b,5,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1610.0,1.0,0.0,1715.0,6.0,0.0,1715.0,6.0,0.0,1715.0,6.0,2.0,101.0,(0.0;101;1715)
11,math,MATH-89b,89b,6,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1604.0,4.0,0.0,1604.0,4.0,0.0,1604.0,4.0,0.0,1604.0,4.0,2.0,101.0,(0.0;101;1604)
12,math,MATH-89b,89b,7,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1695.0,3.0,0.0,1949.0,18.0,0.0,1949.0,18.0,0.0,1949.0,18.0,3.0,101.0,(0.0;101;1949)
13,math,MATH-89b,89b,9,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/9,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R9_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R9_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1880.0,2.0,0.0,1880.0,2.0,0.0,1880.0,2.0,0.0,1880.0,2.0,3.0,101.0,(0.0;101;1880)
14,math,MATH-89b,89b,8,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R8_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R8_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2009.0,1.0,0.0,2010.0,1.0,0.0,2009.0,1.0,0.0,2010.0,1.0,3.0,101.0,(0.0;101;2010)
15,math,MATH-89b,89b,10,java.lang.ClassCastException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-89b/frame-1/10,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R10_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-89b/frame-1/R10_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,654.0,1.0,0.0,654.0,1.0,0.0,654.0,1.0,0.0,654.0,1.0,2.0,101.0,(0.0;101;654)
16,math,MATH-8b,8b,1,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
17,math,MATH-8b,8b,3,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
18,math,MATH-8b,8b,4,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
19,math,MATH-8b,8b,8,java.lang.ArrayStoreException,Java Runtime Exception,1,1,1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MATH-8b/frame-1/8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R8_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MATH-8b/frame-1/R8_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
