,application,case,version,execution_idx,exception_name,exception_kind,frame_level,all_frames_count,project_frames_count,test_case_path,log_path,err_path,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,line_fitness_value,line_fitness_time_msec,line_fitness_number_of_eval,exception_fitness_value,exception_fitness_time_msec,exception_fitness_number_of_eval,stacktrace_similarity_value,stacktrace_similarity_fitness_msec,stacktrace_similarity_number_of_eval,fitness_function_value,fitness_function_time_msec,fitness_function_number_of_tries,execution_time,total_number_of_eval,fitness_function_evolution
950,mockito,MOCKITO-9b,9b,6,org.mockito.exceptions.base.MockitoException,Custom Exception,3,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-3/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1390.0,1.0,1.0,1390.0,1.0,1.0,1390.0,1.0,3.0,1390.0,1.0,,,(3.0;101;1390)
951,mockito,MOCKITO-9b,9b,9,org.mockito.exceptions.base.MockitoException,Custom Exception,6,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-6/9,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-6/R9_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-6/R9_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
953,mockito,MOCKITO-9b,9b,4,org.mockito.exceptions.base.MockitoException,Custom Exception,5,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-5/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2765.0,1.0,0.0,90719.0,20019.0,0.4411764705882353,90719.0,20019.0,0.4411764705882353,90719.0,20019.0,303.0,65444.0,(3.0;101;2766)(0.4411764705882353;20051;90719)
955,mockito,MOCKITO-9b,9b,6,org.mockito.exceptions.base.MockitoException,Custom Exception,5,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-5/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1855.0,1.0,0.0,25384.0,3778.0,0.4411764705882353,25384.0,3778.0,0.4411764705882353,25384.0,3778.0,189.0,65444.0,(3.0;101;1855)(0.4411764705882353;3881;25384)
957,mockito,MOCKITO-9b,9b,5,org.mockito.exceptions.base.MockitoException,Custom Exception,7,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-7/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.75,3258.0,1.0,1.0,3260.0,1.0,1.0,3259.0,1.0,5.25,3261.0,1.0,230.0,65444.0,(5.25;101;3261)
959,mockito,MOCKITO-7b,7b,8,org.mockito.exceptions.base.MockitoException,Custom Exception,6,8,8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-7b/frame-6/8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-7b/frame-6/R8_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-7b/frame-6/R8_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,3342.0,1.0,0.0,11943.0,578.0,0.45,11943.0,578.0,0.45,11944.0,578.0,518.0,65444.0,(3.0;101;3342)(0.45;626;11944)
961,mockito,MOCKITO-9b,9b,10,org.mockito.exceptions.base.MockitoException,Custom Exception,4,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-4/10,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-4/R10_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-4/R10_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
963,mockito,MOCKITO-9b,9b,4,org.mockito.exceptions.base.MockitoException,Custom Exception,2,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-2/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,19514.0,113.0,0.0,19515.0,113.0,0.3749999999999999,19514.0,113.0,0.3749999999999999,19515.0,113.0,338.0,65444.0,(4.0;101;2508)(0.37499999999999994;206;19515)
964,mockito,MOCKITO-9b,9b,7,org.mockito.exceptions.base.MockitoException,Custom Exception,3,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-3/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,316.0,1.0,1.0,316.0,1.0,1.0,316.0,1.0,3.0,316.0,1.0,,,(3.0;101;316)
966,mockito,MOCKITO-9b,9b,10,org.mockito.exceptions.base.MockitoException,Custom Exception,6,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-6/10,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-6/R10_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-6/R10_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,,,,,,,,,,,,,,,
968,mockito,MOCKITO-9b,9b,6,org.mockito.exceptions.base.MockitoException,Custom Exception,7,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-7/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.75,3854.0,1.0,1.0,3854.0,1.0,1.0,3854.0,1.0,5.25,3854.0,1.0,200.0,65444.0,(5.25;101;3854)
970,mockito,MOCKITO-9b,9b,5,org.mockito.exceptions.base.MockitoException,Custom Exception,2,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-2/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,24964.0,117.0,0.0,24964.0,117.0,0.3749999999999999,24964.0,117.0,0.3749999999999999,24965.0,117.0,312.0,65444.0,(4.0;101;2751)(0.37499999999999994;206;24965)
972,time,TIME-10b,10b,1,org.joda.time.IllegalFieldValueException,Custom Exception,1,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-1/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1719.0,25.0,0.0,2558.0,104.0,0.0,2558.0,104.0,0.0,2558.0,104.0,3.0,206.0,(3.0;101;1719)(0.0;206;2558)
974,time,TIME-10b,10b,1,org.joda.time.IllegalFieldValueException,Custom Exception,2,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-2/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2282.0,3.0,0.0,3659.0,104.0,0.0,4641.0,152.0,0.0,4641.0,152.0,5.0,206.0,(3.0;101;2282)(0.0;206;4641)
976,time,TIME-10b,10b,1,org.joda.time.IllegalFieldValueException,Custom Exception,3,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-3/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1421.0,4.0,0.0,2488.0,8.0,0.0,20434.0,643.0,0.0,20435.0,643.0,21.0,731.0,(0.40625000000000006;101;3063)(0.3;311;10002)(0.0;731;20435)
978,mockito,MOCKITO-9b,9b,7,org.mockito.exceptions.base.MockitoException,Custom Exception,5,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-5/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-5/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1939.0,1.0,0.0,47453.0,10490.0,0.4411764705882353,47453.0,10490.0,0.4411764705882353,47453.0,10490.0,201.0,65444.0,(3.0;101;1944)(0.4411764705882353;10496;47453)
979,mockito,MOCKITO-9b,9b,8,org.mockito.exceptions.base.MockitoException,Custom Exception,3,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-3/8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R8_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R8_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1045.0,1.0,1.0,1046.0,1.0,1.0,1046.0,1.0,3.0,1046.0,1.0,,,(3.0;101;1046)
980,time,TIME-10b,10b,2,org.joda.time.IllegalFieldValueException,Custom Exception,1,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-1/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1628.0,18.0,0.0,2515.0,108.0,0.0,2514.0,108.0,0.0,2515.0,108.0,3.0,206.0,(3.0;101;1628)(0.0;206;2515)
982,mockito,MOCKITO-9b,9b,6,org.mockito.exceptions.base.MockitoException,Custom Exception,2,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-2/6,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R6_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R6_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,8499.0,113.0,0.0,8499.0,113.0,0.3749999999999999,8499.0,113.0,0.3749999999999999,8499.0,113.0,298.0,65444.0,(4.0;101;1983)(0.37499999999999994;206;8499)
983,time,TIME-10b,10b,2,org.joda.time.IllegalFieldValueException,Custom Exception,2,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-2/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2999.0,147.0,0.0,5547.0,352.0,0.0,7663.0,622.0,0.0,7663.0,622.0,7.0,626.0,(4.5;101;659)(3.0;206;3000)(0.3;416;5547)(0.0;626;7663)
985,mockito,MOCKITO-9b,9b,1,org.mockito.exceptions.base.MockitoException,Custom Exception,1,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-1/1,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R1_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,3808.0,4.0,0.0,3809.0,4.0,0.3,3808.0,4.0,0.3,3809.0,4.0,521.0,65444.0,(0.3;101;3809)
986,mockito,MOCKITO-9b,9b,7,org.mockito.exceptions.base.MockitoException,Custom Exception,7,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-7/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.75,3803.0,1.0,1.0,3804.0,1.0,1.0,3804.0,1.0,5.25,3805.0,1.0,228.0,65444.0,(5.25;101;3805)
988,time,TIME-10b,10b,2,org.joda.time.IllegalFieldValueException,Custom Exception,3,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-3/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2375.0,11.0,0.0,2375.0,11.0,0.0,11217.0,293.0,0.0,11218.0,293.0,11.0,311.0,(0.3695652173913043;101;3418)(0.3;206;5349)(0.0;311;11218)
990,time,TIME-10b,10b,3,org.joda.time.IllegalFieldValueException,Custom Exception,1,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-1/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1273.0,11.0,0.0,1273.0,11.0,0.0,1273.0,11.0,0.0,1273.0,11.0,3.0,101.0,(0.0;101;1273)
992,time,TIME-10b,10b,3,org.joda.time.IllegalFieldValueException,Custom Exception,2,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-2/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,3839.0,120.0,0.0,8716.0,534.0,0.0,8716.0,534.0,0.0,8716.0,534.0,9.0,626.0,(4.5;101;987)(3.0;206;3839)(0.0;626;8716)
994,mockito,MOCKITO-9b,9b,9,org.mockito.exceptions.base.MockitoException,Custom Exception,3,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-3/9,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R9_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-3/R9_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1642.0,1.0,1.0,1647.0,1.0,1.0,1644.0,1.0,3.0,1648.0,1.0,,,(3.0;101;1648)
996,mockito,MOCKITO-9b,9b,2,org.mockito.exceptions.base.MockitoException,Custom Exception,1,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-1/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2919.0,3.0,0.0,2919.0,3.0,0.3,2919.0,3.0,0.3,2919.0,3.0,540.0,65444.0,(0.3;101;2919)
998,time,TIME-10b,10b,4,org.joda.time.IllegalFieldValueException,Custom Exception,1,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-1/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2081.0,12.0,0.0,3088.0,104.0,0.0,3088.0,104.0,0.0,3088.0,104.0,4.0,206.0,(3.0;101;2081)(0.0;206;3088)
1000,time,TIME-10b,10b,4,org.joda.time.IllegalFieldValueException,Custom Exception,2,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-2/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-2/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,985.0,1.0,0.0,9617.0,721.0,0.0,12068.0,1142.0,0.0,12068.0,1142.0,12.0,1151.0,(3.0;101;985)(0.3560311284046692;731;9617)(0.0;1151;12068)
1002,mockito,MOCKITO-9b,9b,7,org.mockito.exceptions.base.MockitoException,Custom Exception,2,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-2/7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R7_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-2/R7_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,29120.0,117.0,0.0,29121.0,117.0,0.3749999999999999,29120.0,117.0,0.3749999999999999,29121.0,117.0,318.0,65444.0,(4.0;101;2344)(0.37499999999999994;206;29121)
1004,mockito,MOCKITO-9b,9b,3,org.mockito.exceptions.base.MockitoException,Custom Exception,1,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-1/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-1/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,3951.0,7.0,0.0,3951.0,7.0,0.3,3951.0,7.0,0.3,3951.0,7.0,518.0,65444.0,(0.3;101;3951)
1006,time,TIME-10b,10b,2,org.joda.time.IllegalFieldValueException,Custom Exception,5,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-5/2,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-5/R2_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-5/R2_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,1451.0,3.0,0.0,3382.0,34.0,0.0,50145.0,8135.0,0.0,50145.0,8135.0,50.0,8186.0,(0.4372881355932204;101;3382)(0.42857142857142855;311;6570)(0.42682926829268286;416;8019)(0.40909090909090906;521;9424)(0.3;6821;43729)(0.0;8186;50145)
1008,time,TIME-10b,10b,3,org.joda.time.IllegalFieldValueException,Custom Exception,3,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-3/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,3033.0,12.0,0.0,3033.0,12.0,0.0,32539.0,1216.0,0.0,32539.0,1216.0,33.0,1256.0,(0.3695652173913043;101;3033)(0.3;416;13244)(0.0;1256;32539)
1010,time,TIME-10b,10b,4,org.joda.time.IllegalFieldValueException,Custom Exception,3,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-3/4,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R4_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-3/R4_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2617.0,9.0,0.0,2731.0,14.0,0.0,16904.0,542.0,0.0,16904.0,542.0,20.0,626.0,(0.40625000000000006;101;2987)(0.3695652173913043;206;6092)(0.3;416;13463)(0.0;626;16904)
1012,mockito,MOCKITO-9b,9b,8,org.mockito.exceptions.base.MockitoException,Custom Exception,7,7,7,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/MOCKITO-9b/frame-7/8,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R8_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/MOCKITO-9b/frame-7/R8_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.75,3462.0,2.0,1.0,3305.0,1.0,1.0,3305.0,1.0,5.25,3462.0,2.0,239.0,65444.0,(5.25;101;3462)
1013,time,TIME-10b,10b,5,org.joda.time.IllegalFieldValueException,Custom Exception,1,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-1/5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-1/R5_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2372.0,16.0,0.0,3747.0,103.0,0.0,3747.0,103.0,0.0,3747.0,103.0,5.0,206.0,(3.0;101;2372)(0.0;206;3747)
1014,time,TIME-10b,10b,3,org.joda.time.IllegalFieldValueException,Custom Exception,5,5,5,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/../JarFiles/GGA-tests/TIME-10b/frame-5/3,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-5/R3_PM0.8_Mperc0.5_SB62328_POP100/out,/home/pderakhshanfar/EvoCrash-Experiments/pythonScripts/outputs/logs/TIME-10b/frame-5/R3_PM0.8_Mperc0.5_SB62328_POP100/err,0.8,0.5,0,0,62328,100,0.0,2423.0,5.0,0.0,2562.0,11.0,0.0,47924.0,7445.0,0.0,47924.0,7445.0,48.0,7451.0,(0.4372881355932204;101;2562)(0.40909090909090906;416;8973)(0.3;6506;43486)(0.0;7451;47924)
